PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
121,1,3,"Hill, Miss. Alice",female,10.210340179733791,0,6,87373,23.48,,S
122,1,3,"Brown, Mr. David",male,6.452723231168729,1,0,195442,31.58,,S
123,0,1,"Masselmani, Miss. Ellen",female,33.28892279035496,4,4,144988,184.2,,S
124,0,3,"Rice, Capt. Andrew",male,31.880878853554375,4,0,173517,26.46,C111,S
125,0,3,"Johnson, Miss. Annie",female,31.15754137036835,1,0,STON/O 292829,10.83,,S
126,0,1,"Graham, Mr. James",male,,0,2,108967,62.09,,S
127,1,3,"Martinez, Mr. Edward",male,46.98340341369819,2,0,176405,0.0,F14,S
128,1,3,"Williams, Mr. Michael",male,21.112135303035828,1,1,312900,35.39,,C
129,0,1,"Andersson, Sir. Thomas",male,35.593923419957065,1,0,192758,112.14,C14,n
130,0,3,"Hall, Miss. Julia",female,6.7955751426147835,2,1,289137,7.59,A9,S
131,0,2,"Johnson, Miss. Ida",female,49.69129132081858,1,2,287287,38.26,,S
132,0,3,"Moran, Mr. Owen",male,11.649947045836722,8,0,192349,2.3,,C
133,0,3,"Palsson, Mr. William",male,19.403823773913654,2,1,182062,17.47,,S
134,0,3,"Jones, Miss. Marie",female,21.03321205087016,2,2,70351,11.1,,S
135,1,3,"Allen, Mrs. Grace",female,7.569070547527925,5,1,STON/O 235085,20.03,,S
136,0,3,"Vestrom, Mr. Henry",male,30.172345872424145,1,4,A/5 71309,12.3,,S
137,0,3,"Hall, Sir. William",male,32.80160608892148,0,0,W./C. 120156,0.0,,S
138,1,2,"Brown, Mr. Peter",male,26.953501770767527,0,1,22576,21.98,,S
139,0,3,"Sutehall, Mrs. Catherine",female,,3,5,104002,24.54,,S
140,1,1,"Allen, Mr. Arthur",male,58.459100405349815,1,1,281092,82.25,,S
141,1,3,"Walker, Mr. Harold",male,37.6638465492739,0,5,170898,21.53,,Q
142,0,1,"Andersson, Mr. Andrew",male,67.8962196329244,4,2,192303,21.27,,S
143,0,1,"Miller, Miss. Agnes",female,,1,3,258412,82.42,D65,S
144,0,1,"Graham, Mr. Frederick",male,43.58929230856616,8,0,370705,46.53,,S
145,0,3,"Sloper, Mr. Alfred",male,40.99947136721537,8,3,50434,21.22,,S
146,0,2,"Rice, Mr. David",male,25.486661005088248,0,1,118569,21.41,,S
147,0,3,"Scott, Mr. Daniel",male,50.16023806535875,8,5,342876,20.59,C76,S
148,0,1,"Rice, Sir. Daniel",male,23.82155488960021,1,0,82494,149.26,,S
149,0,2,"McCarthy, Mr. Samuel",male,24.467074418343195,1,1,83867,29.99,,S
150,0,3,"Allen, Mr. Owen",male,0.5,4,2,342116,16.0,,S
151,1,3,"Martinez, Mr. Samuel",male,35.630906779268244,1,2,91748,2.02,D23,S
152,0,2,"Sutehall, Mr. James",male,10.480106280605106,2,0,165404,20.96,,C
153,0,3,"Rice, Miss. Mabel",female,,0,0,130529,7.14,D33,S
154,0,3,"Thomas, Mrs. Annie",female,14.8198152381971,0,0,265395,9.22,,S
155,1,3,"Wilson, Mr. Samuel",male,24.389642679885206,8,5,159099,8.88,,S
156,0,1,"Scott, Mrs. Elizabeth",female,36.136263338152816,0,6,10583,25.2,C71,S
157,1,1,"Chapman, Mr. Ernest",male,29.861552664206982,1,0,13224,0.0,,Q
158,1,3,"Martinez, Mr. Ernest",male,39.9897987123342,0,0,367464,5.65,,S
159,0,1,"Young, Mr. Harold",male,48.05162826599165,0,3,A/5 341716,95.6,,S
160,1,3,"Garcia, Mr. John",male,24.352458918171386,1,1,267285,0.0,,S
161,0,3,"Nasser, Mrs. Bertha",female,22.76077499076635,0,0,334015,13.17,,S
162,1,3,"Williams, Miss. Agnes",female,43.58705097809914,0,2,CA 172929,33.9,,S
163,1,3,"Martin, Miss. Charlotte",female,44.73718568672898,8,4,323046,24.25,D68,S
164,0,3,"Futrelle, Mr. George",male,40.43856758749418,0,0,51711,31.08,,S
165,0,2,"Harris, Mr. Samuel",male,15.893407302279433,8,2,181175,26.08,,Q
166,1,3,"Wright, Mr. Charles",male,35.82849844977326,0,0,W./C. 250402,25.84,,S
167,0,2,"Hill, Mr. Joseph",male,31.28732375868569,4,0,392093,11.59,,S
168,0,3,"Palsson, Col. Alfred",male,,4,1,329974,5.91,,Q
169,0,3,"Rice, Mr. Andrew",male,21.39335470170264,0,0,244466,0.0,E137,C
170,0,3,"Rice, Mr. Albert",male,5.5341507783262145,2,0,62554,26.05,,S
171,1,3,"Hall, Mr. Samuel",male,39.708433605513946,4,0,154412,29.94,,S
172,0,3,"Vestrom, Miss. Anna",female,0.5,2,0,347505,6.92,,C
173,0,2,"Rice, Miss. Emily",female,19.093055643503213,4,0,A/5 190921,17.7,,S
174,0,2,"Masselmani, Mrs. Florence",female,14.86366508588473,8,3,241617,11.2,E111,S
175,1,3,"Kelly, Dr. Albert",male,14.76594727186667,1,0,PC 114606,17.21,,C
176,0,1,"Wilson, Mr. Andrew",male,18.839043671151114,1,2,C.A. 29930,151.5,,S
177,1,1,"Masselmani, Mr. Alexander",male,,0,0,C.A. 363544,0.0,,S
178,0,2,"White, Miss. Edith",female,41.5980535755924,8,0,351052,26.32,,S
179,1,2,"Taylor, Mr. Henry",male,,5,1,237545,17.4,,S
180,0,2,"Moran, Rev. Walter",male,46.13754034195621,1,4,208302,22.47,,C
181,0,1,"Moore, Miss. Rose",female,14.296691250087576,5,0,CA 62715,111.54,,S
182,0,1,"Robinson, Mr. Edward",male,12.324890906666205,0,2,157323,72.71,,C
183,1,1,"Hall, Mr. Joseph",male,,2,6,W./C. 51508,77.78,D130,S
184,1,3,"Heikkinen, Mr. Joseph",male,,0,1,302111,10.65,,S
185,0,2,"Wilson, Mr. Benjamin",male,23.026180677041815,0,6,PC 303877,33.61,,S
186,1,2,"Sandstrom, Mr. Walter",male,13.235817041377107,4,3,STON/O 297952,26.44,,S
187,1,3,"Jones, Mr. Alfred",male,50.86611218805013,2,1,59959,15.43,,Q
188,0,1,"Graham, Capt. Joseph",male,4.758513011256635,4,0,199208,7.74,D78,S
189,0,3,"Braund, Mr. Leonard",male,21.022823937518375,0,1,STON/O 87322,8.84,,S
190,0,3,"Martin, Miss. Julia",female,33.01435964900951,1,2,SC/Paris 2132,22.89,,S
191,0,1,"Cumings, Mr. Peter",male,,4,2,W./C. 326812,86.26,,C
192,1,2,"Allen, Col. Frank",male,,3,3,109835,29.57,,S
193,1,3,"Sandstrom, Mr. Ernest",male,36.66441746869283,0,0,CA 74169,32.43,,S
194,1,3,"Jones, Dr. Marie",female,21.443936347852155,2,0,254608,24.42,D116,S
195,0,3,"Thomas, Mr. Alexander",male,37.94296326648168,3,2,101417,14.02,D13,S
196,0,3,"O'Brien, Mr. Alexander",male,,1,0,232807,7.38,,S
197,1,1,"Thompson, Mrs. Laura",female,6.667264163945408,1,0,PC 395798,0.0,,S
198,1,3,"Moore, Miss. Marie",female,41.197555375650055,0,1,C.A. 284445,11.15,B23,C
199,1,1,"Robinson, Mr. Leonard",male,43.770704152779345,1,0,SOTON/OQ 325368,64.44,C108,S
200,1,3,"Sloper, Miss. Julia",female,41.34879320790686,0,4,169606,17.29,,S
201,1,3,"Moran, Mr. Ernest",male,30.183254922154127,1,2,SC/Paris 203701,11.31,D4,S
202,0,3,"Bonnell, Mr. Arthur",male,15.835435194330115,1,3,318953,9.48,,S
203,0,3,"Brown, Major. Robert",male,0.5,3,4,22602,0.0,A28,C
204,1,1,"Brown, Mr. Leonard",male,31.977277278321033,1,5,CA 363990,27.6,,S
205,0,1,"Graham, Miss. Catherine",female,45.38815986624231,1,0,2537,112.6,,S
206,0,1,"Young, Mr. Leonard",male,44.13522080170467,1,0,STON/O 257210,186.95,,S
207,0,1,"Andersson, Mr. James",male,41.53305622921079,1,0,389689,78.15,,S
208,1,3,"McCarthy, Dr. Emma",female,28.623940811033833,0,0,87155,16.61,,S
209,0,2,"Andersson, Mrs. Catherine",female,45.468230523456704,1,0,90846,33.38,,S
210,0,1,"Moran, Mr. Leonard",male,43.10034644591059,4,3,PC 291180,35.35,,S
211,0,3,"Sloper, Mr. Patrick",male,23.571813369537406,5,0,84049,17.03,,C
212,1,3,"Brown, Capt. Joseph",male,39.51067124092978,2,5,290962,4.85,,S
213,1,3,"Thompson, Ms. Charlotte",female,,0,1,SOTON/OQ 320849,22.51,,S
214,0,3,"Heikkinen, Miss. Bertha",female,37.53035135844537,0,0,128904,14.67,,C
215,1,1,"Masselmani, Miss. Marie",female,10.862808657634528,1,1,322169,101.91,,S
216,0,2,"Hall, Mr. Alfred",male,11.977928774242638,8,1,C.A. 174084,10.83,,S
217,0,3,"Nasser, Major. Owen",male,45.04400218068666,1,1,153472,20.78,,S
218,1,3,"King, Capt. Arthur",male,43.29462177196909,8,1,C.A. 120415,35.93,,S
219,1,1,"Nasser, Capt. David",male,38.887367338349556,0,0,81206,23.53,,S
220,1,3,"Hall, Mr. Alexander",male,30.97554790526604,0,2,191545,9.26,D67,S
221,1,1,"King, Miss. Florence",female,0.5,3,0,24723,97.9,,C
222,0,1,"Carlsson, Mr. Owen",male,28.6142988960059,1,0,1074,131.18,,S
223,0,3,"Braund, Mr. Richard",male,,0,0,197594,6.84,,S
224,0,3,"Moran, Mrs. Jane",female,21.946367910385923,4,4,46929,0.0,,S
225,0,3,"Braund, Mr. Henry",male,19.368834204280553,0,3,STON/O 289172,27.95,,S
226,0,1,"Beesley, Mrs. Emily",female,,1,0,32673,129.63,,S
227,1,3,"Chapman, Mr. Walter",male,,4,3,C.A. 365655,0.0,,S
228,0,2,"Smith, Major. Samuel",male,36.29452995981452,2,2,24525,13.1,,S
229,1,1,"Moubarek, Mr. George",male,,1,1,PC 42846,178.09,,C
230,1,3,"King, Mr. Arthur",male,15.179162390676373,3,5,185100,28.93,D20,S
231,1,3,"Miller, Miss. Jane",female,32.50150762935581,2,2,PC 8265,23.33,,S
232,0,3,"Garcia, Mr. Charles",male,48.83484516992084,1,0,16733,11.06,,C
233,0,3,"Andersson, Mr. Robert",male,56.07873615784595,1,0,300564,13.91,,S
234,0,3,"Martinez, Mr. Arthur",male,,0,0,141319,11.56,,C
235,0,3,"Allen, Mr. Peter",male,26.249818563467418,2,0,22058,25.41,,C
236,1,1,"Nasser, Miss. Grace",female,33.60084898799423,0,0,STON/O 163434,31.45,,S
237,0,2,"Kelly, Mr. Robert",male,33.232737181899054,0,1,W./C. 179428,10.52,G29,Q
238,0,2,"Dooley, Miss. Florence",female,49.807991958901724,2,0,PC 269185,34.13,,S
239,1,2,"Hewlett, Ms. Jessie",female,15.252320507077524,1,2,193941,20.42,,S
240,0,3,"O'Brien, Mr. Richard",male,25.641840250592686,0,1,149620,28.16,E37,C
241,1,3,"Hall, Mrs. Bertha",female,13.501450760290599,0,1,167562,5.61,,S
242,1,1,"Carlsson, Mr. Alexander",male,,0,0,2468,80.71,,S
243,1,1,"Moubarek, Mr. Patrick",male,35.1603232195173,1,1,SC/Paris 73255,28.66,,S
244,0,3,"Futrelle, Mr. Samuel",male,41.442938703736885,2,0,29718,13.08,,C
245,0,1,"Beesley, Miss. Anna",female,20.283820440715694,3,0,169913,0.0,,C
246,1,3,"Masselmani, Miss. Anna",female,40.895374440141694,0,1,369697,7.64,B101,S
247,0,3,"Johnson, Mr. Henry",male,45.81789052841354,5,5,PC 248113,0.0,,Q
248,1,3,"Moubarek, Mrs. Emily",female,57.75323697728416,8,1,59026,20.63,T32,S
249,1,3,"Andersson, Mr. Michael",male,30.71132930819521,5,1,172169,20.88,,S
250,1,3,"Martinez, Mr. Alexander",male,20.42341435206007,1,0,77870,0.0,C138,S
251,0,2,"Wright, Mr. Robert",male,15.164156991714526,1,2,STON/O 362333,38.34,,C
252,0,3,"Williams, Miss. Jessie",female,,0,0,38260,40.47,,S
253,1,3,"Walker, Mr. David",male,47.8218201703523,8,1,A/5 181536,13.51,,S
254,0,2,"Bonnell, Mr. Arthur",male,,1,3,260636,12.67,,C
255,0,3,"Andersson, Mr. Thomas",male,,3,1,158883,44.07,,Q
256,0,3,"Dooley, Mr. Frank",male,17.107605075843843,1,0,44723,0.0,,S
257,1,3,"Allen, Mr. Ernest",male,,0,3,243113,13.22,,S
258,1,3,"Futrelle, Mr. Michael",male,27.502445902355294,1,2,CA 260425,14.98,,Q
259,0,3,"Dooley, Miss. Sarah",female,,5,2,108092,27.8,B8,C
260,0,3,"Brown, Mr. George",male,43.21370644691384,0,2,301589,16.96,,S
261,0,3,"Taylor, Mr. Thomas",male,55.99348730375024,0,5,193180,7.52,B90,C
262,1,3,"Sloper, Col. Albert",male,20.167233715479497,1,1,CA 348761,2.54,,C
263,0,3,"Lewis, Miss. Annie",female,23.43255133211291,0,0,118116,9.24,,Q
264,0,3,"Davis, Lady. Elizabeth",female,,1,2,272623,1.92,E14,C
265,1,3,"Bonnell, Mr. Alfred",male,37.54532307064325,5,2,125232,13.53,,S
266,1,1,"Dooley, Miss. Emily",female,27.47447795514008,0,2,W./C. 377295,50.15,,S
267,1,3,"Vestrom, Mr. David",male,49.815232460262635,0,1,153324,0.0,C141,S
268,1,3,"Moore, Mr. Owen",male,46.32604679014794,1,2,242535,26.81,,S
269,0,1,"Young, Mr. Owen",male,12.510795872871046,8,1,SC/Paris 319166,54.14,,C
270,0,3,"Carlsson, Mr. Joseph",male,37.254038400835014,1,0,172999,0.0,,Q
271,1,1,"Moran, Mr. Edward",male,51.74491894098779,1,1,312997,73.9,,S
272,1,2,"Sutehall, Miss. Sarah",female,,0,0,189337,21.89,,S
273,1,3,"Miller, Miss. Agnes",female,25.43315935899343,1,1,A/5 341134,0.0,,S
274,1,1,"Martin, Lady. Grace",female,,0,5,41736,103.9,,S
275,0,3,"Masselmani, Mr. Owen",male,22.347403574909166,3,1,179130,1.48,D87,S
276,0,3,"Brown, Mr. Benjamin",male,5.507452497289805,0,4,C.A. 337399,31.82,E62,S
277,1,3,"Nasser, Miss. Charlotte",female,,0,6,225793,18.76,E20,S
278,1,1,"Kelly, Mr. Walter",male,30.823368921689834,2,1,SOTON/OQ 153647,60.01,,S
279,1,2,"Sutehall, Mr. Charles",male,51.64717063246529,0,1,CA 167862,11.31,E11,S
280,1,3,"Walker, Mr. William",male,20.806268218484895,8,0,339592,11.85,,C
281,1,3,"Young, Miss. Lillian",female,20.380019107245907,4,0,219976,19.74,,S
282,0,3,"Harris, Mr. Owen",male,54.37205552110065,4,0,142041,12.72,,S
283,0,2,"Thompson, Mr. Samuel",male,13.630266803668189,1,0,PC 242356,18.18,,S
284,0,3,"Williams, Miss. Annie",female,5.611974140756882,2,6,348801,13.64,,S
285,0,3,"Allen, Mr. Joseph",male,17.686526176006254,2,0,247512,6.36,E21,C
286,0,3,"Hall, Capt. David",male,20.08962505748169,0,0,35160,9.22,,S
287,0,1,"Moore, Mr. Daniel",male,4.361930271921551,0,0,146457,0.0,B80,C
288,0,3,"Robinson, Mr. Samuel",male,27.843395259018134,1,0,307391,23.71,B31,S
289,0,3,"Nasser, Miss. Emma",female,,1,0,268688,16.29,C140,S
290,0,3,"Sutehall, Mr. Patrick",male,,1,0,237361,4.49,C144,S
291,0,2,"Lewis, Mr. Richard",male,30.96988417482704,0,0,PC 316837,45.68,,S
292,0,3,"Andersson, Miss. Mary",female,,1,4,CA 203821,13.96,,S
293,1,3,"Hill, Miss. Emily",female,28.49092800852275,1,0,278749,1.6,,C
294,0,1,"Martin, Miss. Ellen",female,32.39254255124536,4,0,338547,135.4,F86,S
295,0,3,"Brown, Sir. Joseph",male,32.56124530763056,5,5,378775,17.38,B53,S
296,0,3,"Johnson, Mr. Richard",male,17.915444624682735,1,5,108441,17.34,D4,C
297,1,1,"Brown, Miss. Martha",female,51.42944729417209,1,1,374460,58.45,,Q
298,0,2,"Jackson, Miss. Lillian",female,47.792474094105124,0,1,133596,26.86,,S
299,1,3,"Dooley, Mr. Robert",male,46.953715259996926,5,4,92656,10.12,A77,S
300,0,1,"Lewis, Major. Ernest",male,44.39829823788602,1,5,SOTON/OQ 354153,117.36,,S
301,0,3,"Hill, Mr. Edward",male,,2,3,259789,0.0,C15,S
302,0,2,"Garcia, Mrs. Annie",female,43.12790447827351,2,0,132049,15.36,E86,Q
303,0,3,"Palsson, Mr. John",male,39.20622069946786,8,2,110381,31.94,,S
304,1,1,"Clark, Mr. James",male,7.420407583315143,0,1,59047,37.98,,S
305,1,3,"Allen, Mr. Peter",male,26.583799850323864,5,0,151737,6.36,,Q
306,1,3,"Rice, Miss. Clara",female,33.71350501521668,0,0,235955,8.07,,C
307,0,3,"Allen, Miss. Grace",female,,3,2,33888,0.0,,S
308,0,3,"Rice, Mr. Michael",male,,0,0,378796,0.0,,C
309,1,1,"Moran, Mrs. Edith",female,17.163796954464626,2,2,347140,70.16,,S
310,0,3,"Taylor, Miss. Jessie",female,54.283132647553465,1,2,58676,14.49,,S
311,0,1,"Wright, Mr. Samuel",male,30.334806559351392,4,0,51468,80.85,,C
312,0,1,"Miller, Mr. Alexander",male,25.990303514905168,5,0,CA 296267,75.31,E45,S
313,0,2,"Kelly, Mr. David",male,24.95678614946222,0,6,194709,21.56,,S
314,1,3,"Hewlett, Miss. Annie",female,6.158449048664568,2,4,48599,24.25,F128,S
